latitude,longitude,free_bikes,empty_slots,name
43.661673,-79.337789,14,0,Queen St E / Pape Ave - SMART
43.665656,-79.352055,14,3,Gerrard St E / Broadview Ave  - SMART
43.6308933,-79.4722622,18,1,Humber Bay Shores Park East
43.6224434,-79.480284,23,5,Humber Bay Shores Park West
43.66986,-79.398443,5,9,Taddle Creek Park
43.659471,-79.350325,21,1,Thompson St / Broadview Ave - SMART
43.650492,-79.450842,2,16,Roncesvalles Ave / Marmaduke St
43.640255,-79.439223,5,11,Queen St W  /  Fuller Ave - SMART
43.637922,-79.431734,9,6,King St W / Cowan Ave - SMART
43.643769,-79.447915,7,12,Garden Ave / Roncesvalles Ave
43.649172,-79.4445087,5,10,Sorauren Ave / Geoffrey St - SMART
43.66587,-79.33443,16,0,Mallon Ave / Jones Ave -SMART
43.658816,-79.367318,8,12,Berkeley St / Dundas St E - SMART
43.654004,-79.444792,4,14,128 Sterling Rd - SMART
43.6397,-79.44865,13,3,Sunnyside Ave / The Queensway - SMART
43.653809,-79.3595,11,1,Sackville St / Eastern Ave - SMART
43.673768,-79.391253,1,10,Davenport Rd / McAlpine St - SMART
43.656638,-79.358749,16,3,Sumach St  / Queen St E
43.684261,-79.299332,4,15,Gerrard St E / Main St
43.678685,-79.297974,9,2,Southwood Dr / Kingston Rd - SMART
43.65143,-79.47779,6,6,Neil McLellan Park
43.64976,-79.48477,3,12,Jane St / Bloor St W (Jane Subway Station)
43.664182,-79.449066,4,15,Antler St / Campbell Ave - SMART
43.64407,-79.3929,6,16,Clarence Square
43.6442,-79.38702,16,8,Front St W / Simcoe St
43.64283,-79.38409,5,9,Lower Simcoe St / Bremner Blvd
43.65182,-79.47421,3,13,Glendonwynne Rd / Bloor St W
43.685569,-79.408019,0,19,Russell Hill Rd / St Clair Ave W
43.651678,-79.375233,14,1,Church St / Lombard St
43.651838,-79.378743,13,3,Richmond St E / Yonge St
43.665221,-79.394009,3,17,Queen's Park Cres W / Hoskin Ave
43.688148,-79.362101,12,2,Pottery Rd / Lower Don River Trail
43.669232,-79.374495,13,9,Bleecker St / St James Ave
43.640075,-79.414156,7,24,Western Battery Rd / Pirandello St
43.678285,-79.347346,2,13,Carlaw Ave / Danforth Ave
43.697139,-79.31469,2,13,Cosburn Ave / Cedarvale Ave
43.694826,-79.295208,3,15,Goodwood Park Crt / Dentonia Park
43.673118,-79.318651,7,11,Eastwood Rd / Coxwell Ave
43.689293,-79.295895,9,14,Trent Ave / Danforth Ave
43.66908,-79.3149,15,4,Orchard Park
43.66073,-79.47149,0,19,Clendenan Ave / Rowland St - SMART
43.66189,-79.42679,1,14,Concord Ave / Bloor St W
