id,name,latitude,longitude,free_bikes,empty_slots,bike_availability,ll,n_pois,n_bar_restaurant,n_cafe,n_live,n_park
e6588e3838b256ab32f9b7db54be5a66,Judson St / Royal York Rd,43.6162721,-79.4990363,4,15,21.05,"43.616272,-79.499036",17,11,1,0,4
b29cba584424066f83f374b2c3fe1780,Wilket Creek Park,43.720645,-79.355474,6,21,22.22,"43.720645,-79.355474",9,0,0,0,8
87722dd793400f7a61a96a59b9133e4f,Annette St / Dundas St W,43.6641174,-79.4588522,0,15,0.0,"43.664117,-79.458852",42,25,7,1,3
d6d49f7d4ddb2cd466938a1b424c1412,Noble St / Queen St W,43.6424558,-79.4296346,5,8,38.46,"43.642456,-79.429635",50,36,7,2,4
51987cd2ab0d05eeb2f79bcb596e348b,Oriole Pkwy / Kilbarry Rd,43.6954486,-79.4026176,1,18,5.26,"43.695449,-79.402618",37,22,5,1,9
b20ef84c05107095581cdd50b2bb4a2c,East Lynn Ave / Danforth Ave,43.6850809,-79.3149901,4,10,28.57,"43.685081,-79.31499",33,16,7,0,7
c4a01864ecb66e9b1ee3023d3205a281,Langford Ave / Danforth Ave - SMART,43.6800218,-79.3405681,12,19,38.71,"43.680022,-79.340568",44,27,9,1,5
3c7236f4a281b569b57f40c0bf29c4ca,University of Toronto Scarborough,43.7842419,-79.1849889,8,8,50.0,"43.784242,-79.184989",13,6,3,2,1
df0ee6e75eb32441818a11d990fa844a,190 Queens Quay E,43.6451308,-79.36536439999999,8,6,57.14,"43.645131,-79.365364",50,28,10,2,8
9703f67f16a349591949e76da3714b61,Elm St/ University Ave (East Side),43.65637299999999,-79.38781039999999,5,12,29.41,"43.656373,-79.38781",50,34,7,4,5
b1685246ce6cfe5b9d621a1991c3cedb,Waterfront Trail (Rouge Hill),43.778015,-79.131911,11,6,64.71,"43.778015,-79.131911",9,5,0,0,3
c0538b0581a59e1e7321a382b5ab17ab,St Clair Ave W / Gunns Rd,43.672079,-79.470171,5,13,27.78,"43.672079,-79.470171",43,33,3,1,5
052763ac927bce9197aa6381f508576f,Pape Ave / Gamble Ave,43.690237,-79.350119,6,13,31.58,"43.690237,-79.350119",40,27,8,0,4
0faf9e7c7d5403b8f7dc7574fa6d0c6e,Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,9,9,50.0,"43.70942,-79.39139",50,38,4,0,5
f3aa2a6bb24e5012b030c6810cf39964,Church St / Bloor St E,43.671389,-79.382919,2,12,14.29,"43.671389,-79.382919",50,34,12,1,2
6fcf6974fe1a08b20ab7f70d70da6cb0,200 Bloor St E,43.671561,-79.38117,0,23,0.0,"43.671561,-79.38117",50,37,10,1,1
fb2618cee3456166ccc52c3ceeae13c6,Moore Park,43.693256,-79.383238,0,14,0.0,"43.693256,-79.383238",10,2,2,0,5
e473bffc39f79fdd42e27583ccbe0709,Bloor St W / Pacific Ave,43.65412449999999,-79.4636388,2,5,28.57,"43.654124,-79.463639",40,21,4,0,10
3d71c9ff5bcbaad794a49115e11786e3,Danforth Ave / Dewhurst Blvd,43.680207,-79.339243,6,9,40.0,"43.680207,-79.339243",42,27,6,1,6
fea3f9dfbcc18225728f10913c5d3d5b,Bloor St W / Brock Ave,43.6589882,-79.438715,5,4,55.56,"43.658988,-79.438715",46,29,10,1,5
f3a880cb5277285662d2d68f5523488d,Davenport Rd / Dovercourt Rd - SMART,43.6741219,-79.4352208,0,16,0.0,"43.674122,-79.435221",38,30,4,0,3
844d02b2b7dfdabf7bd044c3edf050d5,1 Market St - SMART,43.6469928,-79.3706665,7,10,41.18,"43.646993,-79.370666",50,33,6,2,5
3d38244751d3c44617f0066466a3bc7d,Brick Works,43.683884,-79.36647,12,6,66.67,"43.683884,-79.36647",16,1,1,1,12
2b4c28b78247a24037bcff2ad8fcc605,University Ave / King St W - SMART,43.6477785,-79.3847928,2,21,8.7,"43.647778,-79.384793",50,32,5,5,6
9d7e8386839f9d834777d1cf0a8482c1,Amroth Ave / Danforth Ave,43.6856128,-79.31168269999999,9,10,47.37,"43.685613,-79.311683",41,21,3,0,14
10722d0c5054c529a0d71f9eb2c89f92,Summerhill Subway Station,43.681944,-79.390556,0,11,0.0,"43.681944,-79.390556",42,28,5,0,8
b1c628d5509021c582f104bc3089e514,Beaty Ave / Queen St W,43.6393107,-79.4408141,3,16,15.79,"43.639311,-79.440814",50,32,5,1,6
f889b35bb8077eaa77f35bed4d524e89,Blantyre Park,43.68306889999999,-79.279682,7,13,35.0,"43.683069,-79.279682",28,21,4,0,2
7e8db6cca9980f9b6daf293197f25fc4,Queen St E / Rushbrooke Ave,43.6626628,-79.3323698,8,6,57.14,"43.662663,-79.33237",48,31,6,3,7
34ec939e3772ab6f8f9be4ae0c98f3a2,Donlands Subway Station,43.681114,-79.3373885,2,11,15.38,"43.681114,-79.337388",37,22,7,1,6
1cc9575bb686fa4a3eb7f4afbdea5073,Lynn Williams St / East Liberty St - SMART,43.638925,-79.4168659,1,11,8.33,"43.638925,-79.416866",50,34,6,2,6
cf43a77e34066db8b926a42b49814963,Eastwood Rd / Woodbine Ave - SMART,43.676216,-79.309395,4,10,28.57,"43.676216,-79.309395",13,4,1,0,7
48f8a355073b35f8720761c96f77d86b,285 Victoria St,43.656633,-79.379625,37,1,97.37,"43.656633,-79.379625",50,34,6,3,7
c147f315755b1b1e79467fab3aaf3cb4,Gerrard St E / Victoria Park Ave - SMART,43.686962,-79.286864,11,5,68.75,"43.686962,-79.286864",42,33,5,0,2
199a939521be6324c802d8d50ebeb4a8,Kilgour Rd / Rumsey Rd,43.718039,-79.371914,7,9,43.75,"43.718039,-79.371914",22,13,4,0,3
04cadbe0f9b27f89f5fa6f6dbdea0883,Bay St / Scollard St,43.672152,-79.39018,8,4,66.67,"43.672152,-79.39018",50,33,12,3,2
be90e51f9b29e31ae1d40a8dea028dcf,Weston Rd / St Clair Ave W - SMART,43.673019,-79.467994,1,18,5.26,"43.673019,-79.467994",29,21,1,0,6
4704fb679220b3879edfa3a853d55fbd,Sunnybrook Health Centre - L Wing,43.72268,-79.37644,6,8,42.86,"43.72268,-79.37644",14,5,5,0,2
8e40f60a48a909297b4114be18956d5c,Dundas St W / St Helen's Ave - SMART,43.6504218,-79.4407647,7,19,26.92,"43.650422,-79.440765",46,28,7,2,5
2ad52acd0c231c654b488e03060224f2,Yonge St / St Clair Ave,43.68850459999999,-79.3940052,1,16,5.88,"43.688505,-79.394005",39,27,4,1,7
1a0670e4e55fe4259c105c6803651334,Spadina Ave / Blue Jays Way,43.641705,-79.393295,1,26,3.7,"43.641705,-79.393295",50,30,5,4,9
9d145fd59618d68dab06dba1c8900fe9,Bloor St W / Riverside Dr,43.647663,-79.487583,5,18,21.74,"43.647663,-79.487583",33,18,5,1,6
ea3315c38d0d6b79d5e38457850a1cfc,Sunnybrook Health Centre - S Wing,43.720998,-79.377456,5,6,45.45,"43.720998,-79.377456",15,5,5,0,3
238f97722fa9fb7a59373178433ee0bb,Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,0,18,0.0,"43.652327,-79.388254",50,33,6,6,4
bac1dcd28fcdff0438987edfef742154,Queen St W / Dovercourt Rd,43.6438602,-79.4227573,6,5,54.55,"43.64386,-79.422757",50,38,9,1,2
b5473ba8329a31e18dfbc5067cf61369,King's Mill Park,43.64920406876699,-79.49336334201408,9,17,34.62,"43.649204,-79.493363",27,11,4,1,6
